kernel,N,nnz,sparsity,op_intensity_cpu,mem_mb,cpu_time_s,cpu_energy_j,gflops_cpu,bw_gbps_cpu,CPU_Cores,CPU_Freq,op_intensity_gpu,gpu_sm_count,gpu_freq_ghz,gpu_mem_gb,gpu_mem_bw_gbps,gpu_time_s,gpu_energy_j,gflops_gpu,bw_gbps_gpu,speedup,ilp_label,ilp_obj
SpMV,60000,3600000,0.001,0.162162,44.4,0.0009526187,0.0650548,7.5581,46.6084,8,3.2,0.13032547,24,1.112,24.0468,288.384,0.0010056245,0.15598552,14.561618,106.5183,0.94729071,0,287.04329
SpMV,75000,5625000,0.001,0.163043,69,0.0018048367,0.137844,6.2333,38.2306,8,3.2,0.13205097,24,1.112,24.0468,288.384,0.0016545889,0.24048425,15.442243,114.4165,1.0908067,0,287.04329
SpMV,100000,10000000,0.001,0.163934,122,0.0036360218,0.275466,5.5005,33.5532,8,3.2,1.145228,24,1.112,24.0468,288.384,0.0021642772,0.37476802,29.465082,104.07284,1.6800166,0,287.04329
SpMV,125000,15625000,0.001,0.164474,190,0.0056528169,0.446292,5.5282,33.6116,8,3.2,0.13735163,24,1.112,24.0468,288.384,0.0045384564,0.77404585,17.836535,129.11975,1.2455374,0,287.04329
SpMV,150000,22500000,0.001,0.164835,273,0.0081016318,0.651334,5.5544,33.6969,8,3.2,0.14006608,24,1.112,24.0468,288.384,0.0065657149,1.1015155,18.182405,127.472,1.2339299,0,287.04329
SpMV,200000,40000000,0.001,0.165289,484,0.014531284,1.15359,5.5054,33.3074,8,3.2,1.2159124,24,1.112,24.0468,288.384,0.010393967,1.6773151,33.65654,109.00374,1.3980499,0,287.04329
SpMV,250000,62500000,0.001,0.165563,755,0.022590938,1.82671,5.5332,33.4205,8,3.2,0.14709225,24,1.112,24.0468,288.384,0.019290446,3.1666282,19.892,135.832,1.1710946,0,287.04329
SpMV,300000,90000000,0.001,0.165746,1086,0.033070161,2.67094,5.443,32.8393,8,3.2,0.1493395,24,1.112,24.0468,288.384,0.028521241,4.6067009,19.666825,132.8695,1.1594924,0,287.04329
SpMV,400000,160000000,0.001,0.165975,1928,0.059810977,4.83741,5.3502,32.2349,8,3.2,1.5647805,24,1.112,24.0468,288.384,0.003957745,0.68718195,41.52065,113.05837,15.112388,0,287.04329
SpMV,500000,250000000,0.001,0.166113,3010,0.094351422,7.70366,5.2993,31.902,8,3.2,0.150801,24,1.112,24.0468,288.384,0.0075498303,1.306483,22.117967,147.13267,12.497158,0,287.04329
SpMV,1000000,1000000000,0.001,0.166389,12020,0.46482858,36.4719,4.3027,25.859,8,3.2,0.15772667,24,1.112,24.0468,288.384,0.035582853,5.9811337,22.355167,142.32033,13.063275,0,287.04329
SpMV,1000,1000,0.0001,0.0624922,0.032,2.822111e-06,0.000201965,0.7087,11.3404,8,3.2,0.0825824,24,1.112,24.0468,288.384,1.331585e-05,0.0016288625,0.4794285,4.3792,0.21193623,0,287.04329
SpMV,2000,2000,0.0001,0.0624961,0.064,3.354514e-06,0.000207275,1.1924,19.08,8,3.2,0.09243555,24,1.112,24.0468,288.384,1.492145e-05,0.0016888375,1.646911,12.565508,0.22481153,0,287.04329
SpMV,5000,5000,0.0001,0.0624984,0.16,4.533656e-06,0.000350768,2.2057,35.2925,8,3.2,0.10282145,24,1.112,24.0468,288.384,2.34829e-05,0.00255208,3.8570982,28.387463,0.19306202,0,287.04329
SpMV,10000,10000,0.0001,0.0624992,0.32,6.835949e-06,0.000507445,2.9257,46.8119,8,3.2,0.10794735,24,1.112,24.0468,288.384,4.10326e-05,0.0056353775,7.3921275,52.8825,0.166598,0,287.04329
SpMV,12500,15625,0.0001,0.0714279,0.4375,1.1804011e-05,0.000755064,2.6474,37.064,8,3.2,0.11136507,24,1.112,24.0468,288.384,5.37083e-05,0.0078031375,8.60267,61.5024,0.21978002,0,287.04329
SpMV,15000,22500,0.0001,0.0789468,0.57,1.4063777e-05,0.000891661,3.1997,40.5299,8,3.2,0.11407033,24,1.112,24.0468,288.384,6.8771225e-05,0.010623585,9.5970425,68.73525,0.20450089,0,287.04329
SpMV,60000,360000,0.0001,0.130435,5.52,9.08527e-05,0.00793454,7.9249,60.7577,8,3.2,0.13032547,24,1.112,24.0468,288.384,0.0010056245,0.15598552,14.561618,106.5183,0.090344562,0,287.04329
SpMV,75000,562500,0.0001,0.136364,8.25,0.00015601742,0.0125964,7.2107,52.8787,8,3.2,0.13205097,24,1.112,24.0468,288.384,0.0016545889,0.24048425,15.442243,114.4165,0.094293764,0,287.04329
SpMV,100000,1000000,0.0001,0.142857,14,0.00025981804,0.0181323,7.6977,53.8839,8,3.2,1.145228,24,1.112,24.0468,288.384,0.0021642772,0.37476802,29.465082,104.07284,0.12004841,0,287.04329
SpMV,125000,1562500,0.0001,0.147059,21.25,0.00076442062,0.0455993,4.0881,27.7988,8,3.2,0.13735163,24,1.112,24.0468,288.384,0.0045384564,0.77404585,17.836535,129.11975,0.16843185,0,287.04329
SpMV,150000,2250000,0.0001,0.15,30,0.00081213168,0.051577,5.541,36.9398,8,3.2,0.14006608,24,1.112,24.0468,288.384,0.0065657149,1.1015155,18.182405,127.472,0.1236928,0,287.04329
SpMV,200000,4000000,0.0001,0.153846,52,0.001328968,0.0904771,6.0197,39.1281,8,3.2,1.2159124,24,1.112,24.0468,288.384,0.010393967,1.6773151,33.65654,109.00374,0.12785956,0,287.04329
SpMV,250000,6250000,0.0001,0.15625,80,0.002288386,0.173593,5.4624,34.9591,8,3.2,0.14709225,24,1.112,24.0468,288.384,0.019290446,3.1666282,19.892,135.832,0.11862795,0,287.04329
SpMV,300000,9000000,0.0001,0.157895,114,0.003460129,0.263055,5.2021,32.9467,8,3.2,0.1493395,24,1.112,24.0468,288.384,0.028521241,4.6067009,19.666825,132.8695,0.12131762,0,287.04329
SpMV,400000,16000000,0.0001,0.16,200,0.0061226342,0.483995,5.2265,32.6657,8,3.2,1.5647805,24,1.112,24.0468,288.384,0.003957745,0.68718195,41.52065,113.05837,1.5470007,0,287.04329
SpMV,500000,25000000,0.0001,0.16129,310,0.0092651356,0.743843,5.3966,33.4588,8,3.2,0.150801,24,1.112,24.0468,288.384,0.0075498303,1.306483,22.117967,147.13267,1.2271979,0,287.04329
SpMV,1000000,100000000,0.0001,0.163934,1220,0.036438694,2.92933,5.4887,33.4809,8,3.2,0.15772667,24,1.112,24.0468,288.384,0.035582853,5.9811337,22.355167,142.32033,1.0240521,0,287.04329
SpMV,2000000,400000000,0.0001,0.165289,4840,0.14593058,11.6218,5.4821,33.1665,8,3.2,0.1595675,24,1.112,24.0468,288.384,0.01774859,3.1313435,23.9684,150.1715,8.222094,0,287.04329
SpMV,1000,1000,1e-05,0.0624922,0.032,2.85685e-06,0.000201782,0.7001,11.2025,8,3.2,0.0825824,24,1.112,24.0468,288.384,1.331585e-05,0.0016288625,0.4794285,4.3792,0.21454507,0,287.04329
SpMV,2000,2000,1e-05,0.0624961,0.064,3.308175e-06,0.000209289,1.2091,19.3472,8,3.2,0.09243555,24,1.112,24.0468,288.384,1.492145e-05,0.0016888375,1.646911,12.565508,0.221706,0,287.04329
SpMV,5000,5000,1e-05,0.0624984,0.16,4.61892e-06,0.000350707,2.165,34.641,8,3.2,0.10282145,24,1.112,24.0468,288.384,2.34829e-05,0.00255208,3.8570982,28.387463,0.19669291,0,287.04329
SpMV,10000,10000,1e-05,0.0624992,0.32,6.770151e-06,0.000510253,2.9541,47.2669,8,3.2,0.10794735,24,1.112,24.0468,288.384,4.10326e-05,0.0056353775,7.3921275,52.8825,0.16499444,0,287.04329
SpMV,12500,12500,1e-05,0.0624994,0.4,7.980811e-06,0.000588804,3.1325,50.1207,8,3.2,0.11136507,24,1.112,24.0468,288.384,5.37083e-05,0.0078031375,8.60267,61.5024,0.14859549,0,287.04329
